Stock ,Day,Month,Year,Open,High,Low,Close
AMZN,7,September,2012,253.850006,259.420013,253.520004,259.140015
AMZN,10,September,2012,259,260,256.820007,257.089996
AMZN,11,September,2012,257.600006,257.600006,254.259995,255.669998
AMZN,12,September,2012,NaN,NaN,NaN,NaN
AMZN,13,September,2012,254.940002,262,253.800003,260.23999
AMZN,14,September,2012,261.399994,264.109985,259.769989,261.269989
AMZN,17,September,2012,261.25,261.25,257,258
AMZN,18,September,2012,258.480011,260.5,257,258.75
AMZN,19,September,2012,259.450012,262.839996,258.529999,261.679993
AMZN,20,September,2012,260.029999,260.869995,258,260.809998
AMZN,21,September,2012,261.73999,262,256.73999,257.470001
AMZN,24,September,2012,255.220001,255.600006,253,254.800003
AMZN,25,September,2012,NaN,NaN,NaN,NaN
AMZN,26,September,2012,252.399994,254.610001,248.229996,249.669998
AMZN,27,September,2012,NaN,NaN,NaN,NaN
AMZN,28,September,2012,256.140015,257,253.199997,254.320007
AMZN,1,October,2012,255.399994,256.160004,250.490005,252.009995
AMZN,2,October,2012,252.800003,253.149994,249.029999,250.600006
AMZN,3,October,2012,251.210007,256.100006,249.559998,255.919998
AMZN,4,October,2012,256.01001,261.519989,255.869995,260.470001
AMZN,5,October,2012,261.200012,261.899994,257.48999,258.51001
AMZN,8,October,2012,257.670013,259.799988,255.559998,259.059998
AMZN,9,October,2012,258.670013,259.350006,250.729996,250.960007
AMZN,10,October,2012,252,252.460007,244.009995,244.990005
AMZN,11,October,2012,248,249.300003,241.889999,244.220001
AMZN,12,October,2012,243.179993,245.460007,241.910004,242.360001
AMZN,15,October,2012,242.850006,244.779999,238.509995,244.179993
AMZN,16,October,2012,244.869995,245.770004,242.080002,243.940002
AMZN,17,October,2012,243.369995,248.800003,243.300003,247.490005
AMZN,18,October,2012,247.770004,250.910004,242.699997,244.850006
AMZN,19,October,2012,245.160004,246.820007,238.940002,240
AMZN,22,October,2012,238.809998,238.949997,232.320007,233.779999
AMZN,23,October,2012,231.050003,236.5,230.009995,234.309998
AMZN,24,October,2012,235.880005,235.940002,227.949997,228.490005
AMZN,25,October,2012,230.919998,230.919998,222.919998,222.919998
AMZN,26,October,2012,228.600006,238.710007,226.690002,238.240005
AMZN,31,October,2012,236.320007,238.699997,230.5,232.889999
AMZN,1,November,2012,234.229996,234.550003,231.339996,232.139999
AMZN,2,November,2012,234.009995,237.399994,232.110001,232.419998
AMZN,5,November,2012,232.039993,234.830002,230.110001,234.330002
AMZN,6,November,2012,NaN,NaN,NaN,NaN
AMZN,7,November,2012,235.649994,235.660004,229.419998,232.059998
AMZN,8,November,2012,232.220001,233.449997,227.100006,227.350006
AMZN,9,November,2012,226.259995,230.970001,224.600006,226.309998
AMZN,12,November,2012,226.589996,229.220001,225.410004,226.470001
AMZN,13,November,2012,225.119995,227.899994,224.710007,226.600006
AMZN,14,November,2012,226.5,227.410004,222.509995,222.949997
AMZN,15,November,2012,222.300003,225.160004,218.179993,220.600006
AMZN,16,November,2012,221.309998,226.25,218.639999,225.229996
AMZN,19,November,2012,228.320007,232.5,227.449997,229.710007
AMZN,20,November,2012,230,233.820007,229.5,233.779999
AMZN,21,November,2012,233.839996,238.669998,232.75,238.029999
AMZN,23,November,2012,239.889999,240,236.479996,239.880005
AMZN,26,November,2012,240.389999,244.320007,238,243.619995
AMZN,27,November,2012,243.220001,245.669998,241.539993,243.399994
AMZN,28,November,2012,242.449997,247.229996,241.5,247.110001
AMZN,29,November,2012,248.050003,252.479996,247.5,251.270004
AMZN,30,November,2012,250.380005,252.649994,248.270004,252.050003
AMZN,3,December,2012,252.539993,254.160004,250,250.330002
AMZN,4,December,2012,249.940002,253,248.660004,252.490005
AMZN,5,December,2012,252.440002,255.550003,250.380005,253.960007
AMZN,6,December,2012,253,255.169998,251.509995,253.369995
AMZN,7,December,2012,NaN,NaN,NaN,NaN
AMZN,10,December,2012,253.100006,254.779999,247.300003,247.770004
AMZN,11,December,2012,NaN,NaN,NaN,NaN
AMZN,12,December,2012,251.070007,254.360001,250.059998,251.759995
AMZN,13,December,2012,251.110001,254.539993,250.020004,251.25
AMZN,14,December,2012,250.110001,251.899994,247.789993,249.190002
AMZN,17,December,2012,249.809998,254,249.259995,253.860001
AMZN,18,December,2012,NaN,NaN,NaN,NaN
AMZN,19,December,2012,261.299988,261.670013,257.679993,257.98999
AMZN,20,December,2012,258.359985,262.410004,256.540009,261.5
AMZN,21,December,2012,NaN,NaN,NaN,NaN
AMZN,24,December,2012,257.299988,259.5,256.959991,258.619995
AMZN,26,December,2012,257.149994,257.420013,248.039993,248.630005
AMZN,27,December,2012,248.279999,249.350006,242.860001,248.309998
AMZN,28,December,2012,245.850006,247.440002,245.050003,245.179993
AMZN,31,December,2012,243.75,252.410004,242.75,250.869995
AMZN,2,January,2013,256.079987,258.100006,253.259995,257.309998
AMZN,3,January,2013,257.269989,260.880005,256.369995,258.480011
AMZN,4,January,2013,257.579987,259.799988,256.649994,259.149994
AMZN,7,January,2013,262.970001,269.730011,262.670013,268.459991
AMZN,8,January,2013,267.070007,268.980011,263.570007,266.380005
AMZN,9,January,2013,268.170013,269.5,265.399994,266.350006
AMZN,10,January,2013,268.540009,268.73999,262.299988,265.339996
AMZN,11,January,2013,265.100006,268.429993,264.109985,267.940002
AMZN,14,January,2013,268,274.26001,267.540009,272.730011
AMZN,15,January,2013,270.679993,272.730011,269.299988,271.899994
AMZN,16,January,2013,270.529999,271.23999,267.829987,268.929993
AMZN,17,January,2013,271.5,271.970001,269.209991,270.480011
AMZN,18,January,2013,270.829987,274.5,269.600006,272.119995
AMZN,22,January,2013,271.619995,272.100006,269.230011,270.190002
AMZN,23,January,2013,270.570007,271.089996,266.649994,268.109985
AMZN,24,January,2013,269.369995,276.649994,269.369995,273.459991
AMZN,25,January,2013,275,284.720001,274.399994,283.98999
AMZN,28,January,2013,283.779999,284.480011,274.399994,276.040009
AMZN,29,January,2013,275.350006,275.459991,258.350006,260.350006
AMZN,30,January,2013,283,284.200012,267.109985,272.76001
AMZN,31,January,2013,271.040009,275.940002,263.700012,265.5
AMZN,1,February,2013,268.929993,268.929993,262.799988,265
AMZN,4,February,2013,262.779999,264.679993,259.070007,259.980011
AMZN,5,February,2013,262,268.029999,261.459991,266.890015
AMZN,6,February,2013,265.160004,266.890015,261.109985,262.220001
AMZN,7,February,2013,264.100006,264.100006,255.110001,260.230011
AMZN,8,February,2013,261.399994,265.25,260.549988,261.950012
AMZN,11,February,2013,NaN,NaN,NaN,NaN
AMZN,12,February,2013,259.190002,260.160004,257,258.700012
AMZN,13,February,2013,261.529999,269.959991,260.299988,269.470001
AMZN,14,February,2013,267.369995,270.649994,265.399994,269.23999
AMZN,15,February,2013,267.630005,268.920013,263.109985,265.089996
AMZN,19,February,2013,265.910004,270.109985,264.5,269.75
AMZN,20,February,2013,270.200012,274.299988,266.369995,266.410004
AMZN,21,February,2013,265.119995,269.480011,263.25,265.940002
AMZN,22,February,2013,266.619995,267.109985,261.609985,265.420013
AMZN,25,February,2013,266.940002,268.690002,259.649994,259.869995
AMZN,26,February,2013,260.890015,262.040009,255.729996,259.359985
AMZN,27,February,2013,259.399994,265.829987,256.859985,263.25
AMZN,28,February,2013,261.809998,267,260.630005,264.269989
AMZN,1,March,2013,NaN,NaN,NaN,NaN
AMZN,4,March,2013,265.359985,273.299988,264.140015,273.109985
AMZN,5,March,2013,274,276.679993,269.98999,275.589996
AMZN,6,March,2013,275.76001,276.48999,271.829987,273.790009
AMZN,7,March,2013,274.100006,274.799988,271.850006,273.880005
AMZN,8,March,2013,NaN,NaN,NaN,NaN
AMZN,11,March,2013,273.429993,273.98999,270.399994,271.23999
AMZN,12,March,2013,NaN,NaN,NaN,NaN
AMZN,13,March,2013,275.23999,276.5,272.640015,275.100006
AMZN,14,March,2013,269.670013,270,263.529999,265.73999
AMZN,15,March,2013,264.980011,267.26001,260.049988,261.820007
AMZN,18,March,2013,259.299988,261.48999,257.119995,257.890015
AMZN,19,March,2013,258.399994,259.5,252.619995,256.410004
AMZN,20,March,2013,258.049988,259.76001,254.550003,257.279999
AMZN,21,March,2013,NaN,NaN,NaN,NaN
AMZN,22,March,2013,254.550003,257.769989,252.070007,257.75
AMZN,25,March,2013,NaN,NaN,NaN,NaN
AMZN,26,March,2013,257.049988,261.480011,256.279999,260.309998
AMZN,27,March,2013,258.75,265.929993,257.899994,265.299988
AMZN,28,March,2013,265.820007,267.380005,264.059998,266.48999
AMZN,1,April,2013,NaN,NaN,NaN,NaN
AMZN,2,April,2013,262.399994,265.890015,260.549988,263.320007
AMZN,3,April,2013,262.119995,263.670013,257.75,259.029999
AMZN,4,April,2013,259.230011,260.410004,256.119995,259.079987
AMZN,5,April,2013,255.720001,256.179993,253.669998,255.479996
AMZN,8,April,2013,NaN,NaN,NaN,NaN
AMZN,9,April,2013,258.850006,262.609985,257,261.140015
AMZN,10,April,2013,261.779999,265.980011,259.320007,264.769989
AMZN,11,April,2013,NaN,NaN,NaN,NaN
AMZN,12,April,2013,270.119995,273.269989,267.019989,272.869995
AMZN,15,April,2013,271.079987,275.119995,267.100006,267.720001
AMZN,16,April,2013,269.309998,272.799988,268.059998,272.339996
AMZN,17,April,2013,270.799988,270.850006,264.25,267.399994
AMZN,18,April,2013,266.809998,266.98999,256.600006,259.420013
AMZN,19,April,2013,258.160004,262.880005,257.5,260.320007
AMZN,22,April,2013,259.350006,264.600006,258.029999,263.549988
AMZN,23,April,2013,264.5,269.869995,264.5,268.899994
AMZN,24,April,2013,269.5,271.470001,266.809998,268.779999
AMZN,25,April,2013,271.529999,275.799988,270.5,274.700012
AMZN,26,April,2013,269.970001,272.019989,252.809998,254.809998
AMZN,29,April,2013,254.899994,257.01001,249.149994,249.740005
AMZN,30,April,2013,NaN,NaN,NaN,NaN
AMZN,1,May,2013,253.899994,254.199997,245.75,248.229996
AMZN,2,May,2013,248.940002,252.929993,245.779999,252.550003
AMZN,3,May,2013,256.140015,259.25,254.699997,258.049988
AMZN,6,May,2013,258.089996,259.5,253.419998,255.720001
AMZN,7,May,2013,256.309998,259.73999,252.910004,257.730011
AMZN,8,May,2013,256.869995,260.299988,255.330002,258.679993
AMZN,9,May,2013,258.730011,263.549988,256.880005,260.160004
AMZN,10,May,2013,260.880005,263.649994,260.209991,263.630005
AMZN,13,May,2013,NaN,NaN,NaN,NaN
AMZN,14,May,2013,264.5,269.399994,264.029999,268.329987
AMZN,15,May,2013,267.070007,269.049988,264.559998,266.559998
AMZN,16,May,2013,NaN,NaN,NaN,NaN
AMZN,17,May,2013,265.829987,269.980011,265,269.899994
AMZN,20,May,2013,NaN,NaN,NaN,NaN
AMZN,21,May,2013,268.73999,270.769989,267.660004,268.859985
AMZN,22,May,2013,267.390015,267.589996,260.799988,262.959991
AMZN,23,May,2013,260.48999,263.170013,259.589996,261.799988
AMZN,24,May,2013,259.850006,261.929993,258.339996,261.73999
AMZN,28,May,2013,266.480011,271.100006,266,267.290009
